Wall time,Step,Value
1579280433.1085837,1,5.814831256866455
1579283313.893386,2,4.856244087219238
1579286198.6578972,3,4.46893310546875
1579289096.272064,4,4.03712272644043
1579291977.895897,5,4.112894535064697
1579294843.1095152,6,4.03617525100708
1579297705.1319633,7,3.342484951019287
1579300550.8475502,8,3.4290976524353027
1579303389.8478456,9,2.9809579849243164
1579306225.0743828,10,2.879295587539673
1579309053.0536141,11,2.366299629211426
1579311872.082185,12,2.2376084327697754
1579314688.631276,13,2.159747838973999
1579317512.6241517,14,2.1651103496551514
1579320334.5030282,15,2.039090394973755
1579323155.499345,16,1.924439787864685
1579325971.5136213,17,1.9129314422607422
1579328789.0328856,18,1.851692795753479
1579331627.7899117,19,1.7644954919815063
1579334444.5003388,20,1.5927696228027344
1579337264.8620157,21,1.6832358837127686
1579340086.1778343,22,1.6672059297561646
1579342904.6721544,23,1.7417683601379395
1579345724.2337852,24,1.7081050872802734
1579348545.5893402,25,1.6463229656219482
1579351365.4965103,26,1.6412782669067383
1579354183.8297846,27,1.7599761486053467
1579357005.0213237,28,1.5600861310958862
1579359826.743985,29,1.7474374771118164
1579362649.8218188,30,1.6759229898452759
